country,happiness_score,social_support,healthy_life_expectancy,freedom_of_choices,generosity,perception_of_corruption,world_region
Rwanda,3.312299967,0.54083544,61.09884644,0.900589406,0.055483952,0.183541179,Sub-Saharan Africa
Saudi Arabia,6.406499863,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,Middle East and North Africa
Senegal,4.980800152,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,Sub-Saharan Africa
Serbia,5.77820015,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,Central and Eastern Europe
Sierra Leone,3.926399946,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,Sub-Saharan Africa
Singapore,6.377099991,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,Southeast Asia
Slovakia,6.280600071,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,Central and Eastern Europe
Slovenia,6.363399982,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021,Central and Eastern Europe
South Africa,4.814099789,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,Sub-Saharan Africa
Spain,6.400899887,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,Western Europe
Sri Lanka,4.327000141,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,South Asia
Swaziland,4.308100224,0.770290196,51.18823624,0.646822274,-0.19920142,0.708263338,Sub-Saharan Africa
Sweden,7.353499889,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,Western Europe
Switzerland,7.559899807,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,Western Europe
Tajikistan,5.555699825,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063,Commonwealth of Independent States
Tanzania,3.476200104,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,Sub-Saharan Africa
Thailand,5.998799801,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,Southeast Asia
Togo,4.187200069,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,Sub-Saharan Africa
Tunisia,4.392199993,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249,Middle East and North Africa
Turkey,5.131800175,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,Middle East and North Africa
Turkmenistan,5.119100094,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847,Commonwealth of Independent States
Uganda,4.43200016,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,Sub-Saharan Africa
Ukraine,4.56069994,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,Commonwealth of Independent States
United Arab Emirates,6.790800095,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211,Middle East and North Africa
United Kingdom,7.164500237,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917,Western Europe
United States,6.939599991,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,North America and ANZ
Uruguay,6.440100193,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,Latin America and Caribbean
Uzbekistan,6.257599831,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,Commonwealth of Independent States
Venezuela,5.053199768,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,Latin America and Caribbean
Vietnam,5.353499889,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,Southeast Asia
Yemen,3.527400017,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,Middle East and North Africa
Zambia,3.759399891,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,Sub-Saharan Africa
Zimbabwe,3.299200058,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699,Sub-Saharan Africa
